,Label
2234,1
1228,1
1127,1
11799,0
9953,0
5514,1
10086,0
10474,0
3484,1
8845,0
7069,1
825,1
8906,0
6134,1
11464,0
9650,0
2252,1
7241,1
9278,0
4762,1
3565,1
10046,0
12364,0
992,1
2656,1
5104,1
11836,0
11879,0
139,1
5475,1
2884,1
12634,0
7878,0
575,1
8279,0
5972,1
8769,0
12839,0
8424,0
3116,1
6762,1
1627,1
8444,0
9971,0
7948,0
5213,1
8666,0
12245,0
1098,1
640,1
12003,0
10392,0
5917,1
1231,1
1041,1
9846,0
4549,1
3526,1
3580,1
11920,0
9135,0
2171,1
1377,1
12387,0
4574,1
5441,1
12119,0
7779,1
9559,0
2864,1
12831,0
9690,0
1435,1
7329,1
10954,0
11445,0
3913,1
2137,1
10664,0
11782,0
1495,1
12101,0
3780,1
4891,1
8553,0
7520,1
7141,1
8177,0
2394,1
1241,1
2247,1
10512,0
6069,1
12440,0
11841,0
9323,0
229,1
12580,0
10482,0
7814,1
5114,1
5438,1
288,1
1197,1
1945,1
8956,0
1146,1
6975,1
12088,0
12199,0
678,1
5283,1
8913,0
12574,0
8643,0
8245,0
7379,1
2824,1
9557,0
12599,0
10821,0
4961,1
8509,0
1674,1
7756,1
11594,0
3594,1
10736,0
4309,1
12339,0
7388,1
3514,1
9481,0
278,1
1622,1
3281,1
12464,0
3819,1
8561,0
6601,1
3702,1
5153,1
2150,1
2130,1
11059,0
10864,0
10551,0
4640,1
10540,0
11817,0
11822,0
6037,1
1776,1
5815,1
8398,0
9240,0
7561,1
2855,1
8814,0
566,1
7861,0
9612,0
9652,0
6673,1
9683,0
485,1
7364,1
6580,1
298,1
8351,0
2941,1
8617,0
5299,1
10509,0
37,1
1566,1
9798,0
6780,1
10895,0
1434,1
6510,1
1829,1
7699,1
11670,0
6970,1
98,1
4569,1
5667,1
12287,0
975,1
8891,0
12850,0
1838,1
5824,1
10531,0
7205,1
2572,1
4583,1
5351,1
9854,0
10454,0
4116,1
3643,1
6722,1
88,1
1322,1
12051,0
3554,1
3226,1
6185,1
9468,0
12219,0
4257,1
1646,1
8517,0
8294,0
5748,1
8704,0
6892,1
8729,0
12092,0
7591,1
1329,1
10355,0
4327,1
11881,0
522,1
6426,1
1550,1
11848,0
2766,1
1548,1
7113,1
12363,0
10663,0
4998,1
9435,0
5692,1
1796,1
9865,0
3624,1
1317,1
6440,1
382,1
4488,1
4275,1
2382,1
12721,0
11551,0
573,1
10813,0
9356,0
877,1
7265,1
10456,0
5004,1
7107,1
452,1
11187,0
12571,0
232,1
491,1
6249,1
6929,1
12133,0
3963,1
10709,0
8460,0
11134,0
3952,1
6657,1
7730,1
435,1
12731,0
3509,1
3587,1
4775,1
2023,1
11246,0
12333,0
21,1
3899,1
983,1
1199,1
1999,1
6567,1
4210,1
3111,1
6480,1
10822,0
9118,0
8683,0
6529,1
10961,0
12175,0
5541,1
10873,0
10410,0
515,1
7978,0
95,1
527,1
6999,1
3366,1
3852,1
10817,0
1031,1
12005,0
5625,1
2203,1
9537,0
