,Label
4998,0
12334,1
977,0
5584,0
11929,1
5228,0
4706,0
2374,0
4389,0
4676,0
6670,1
8703,1
5905,0
11363,1
7328,1
6458,1
13010,1
6171,0
13768,1
1735,0
7064,1
11763,1
13434,1
6180,0
9944,1
2284,0
11368,1
6889,1
8931,1
8980,1
7757,1
7294,1
7545,1
6033,0
7969,1
1970,0
12516,1
5455,0
4170,0
13330,1
9054,1
2069,0
974,0
1425,0
836,0
3806,0
9302,1
12042,1
8501,1
9841,1
81,0
8280,1
12570,1
11553,1
4824,0
11610,1
7374,1
9926,1
13000,1
58,0
7686,1
5465,0
11594,1
8166,1
14098,1
6549,1
1102,0
472,0
8475,1
10879,1
5940,0
10649,1
2339,0
8438,1
1708,0
3657,0
5810,0
6858,1
11316,1
3315,0
726,0
1384,0
2340,0
3333,0
8637,1
10443,1
2670,0
8409,1
8978,1
3385,0
5202,0
4405,0
2716,0
5472,0
544,0
14121,1
2678,0
2767,0
11332,1
501,0
4851,0
10719,1
3560,0
4937,0
1869,0
13511,1
11474,1
12041,1
3658,0
992,0
5067,0
13899,1
13604,1
6278,0
4683,0
6230,0
13076,1
3676,0
4098,0
13240,1
8661,1
2076,0
7103,1
7007,1
6569,1
12533,1
3296,0
3277,0
13114,1
12518,1
3828,0
1087,0
8961,1
2619,0
12339,1
10180,1
6820,1
12787,1
8719,1
7867,1
6811,1
3832,0
6892,1
9594,1
1542,0
8686,1
8269,1
6510,1
531,0
6626,1
1677,0
862,0
6550,1
5121,0
9365,1
5562,0
12446,1
4513,0
3708,0
6520,1
4544,0
6688,1
6296,0
8881,1
1003,0
1692,0
10332,1
5977,0
13833,1
11222,1
10490,1
12493,1
13789,1
12426,1
9156,1
13342,1
2958,0
4259,0
8869,1
2225,0
11045,1
12978,1
461,0
3787,0
2631,0
7615,1
9698,1
1688,0
13709,1
1801,0
7519,1
3068,0
4218,0
11486,1
12726,1
13053,1
13836,1
11982,1
7848,1
110,0
4707,0
12767,1
13579,1
4211,0
6866,1
4413,0
8566,1
6915,1
8621,1
5607,0
350,0
761,0
12096,1
1539,0
10310,1
3707,0
11605,1
7233,1
2879,0
9253,1
8504,1
11202,1
8905,1
10551,1
7631,1
1305,0
8007,1
1255,0
9552,1
8311,1
1829,0
13878,1
13278,1
5360,0
9953,1
5165,0
6206,0
651,0
14108,1
13210,1
7041,1
309,0
13951,1
4444,0
9045,1
12185,1
9396,1
882,0
10329,1
7354,1
3231,0
3023,0
600,0
7518,1
4188,0
7050,1
7593,1
12463,1
12502,1
10908,1
13412,1
9830,1
10626,1
1579,0
2059,0
3069,0
9543,1
8584,1
524,0
3925,0
10340,1
5490,0
1594,0
5743,0
7705,1
5701,0
4730,0
3286,0
5520,0
11817,1
5530,0
6611,1
8354,1
2634,0
12103,1
956,0
1852,0
1356,0
928,0
2164,0
11309,1
11283,1
1021,0
5298,0
6657,1
13268,1
1012,0
9885,1
6133,0
48,0
2885,0
12300,1
1161,0
12436,1
10255,1
1785,0
13409,1
5009,0
4583,0
2416,0
10152,1
13392,1
8586,1
4871,0
11048,1
5247,0
1420,0
967,0
3792,0
11908,1
12665,1
10311,1
4075,0
2614,0
822,0
1171,0
8523,1
14056,1
3197,0
12541,1
939,0
9278,1
1986,0
227,0
12758,1
