,Label
11695,1
5766,0
731,0
9082,1
467,0
7145,1
8144,1
5126,0
10796,1
7534,1
8776,1
478,0
7709,1
6720,1
11663,1
4671,0
8186,1
5984,0
12367,1
7830,1
4661,0
1953,0
11573,1
10224,1
7218,1
7327,1
10107,1
2344,0
9754,1
7809,1
11130,1
12716,1
438,0
13156,1
5245,0
6169,0
325,0
10713,1
8283,1
9081,1
5370,0
6774,1
6846,1
890,0
6492,1
8957,1
4366,0
14136,1
1670,0
6691,1
2639,0
1296,0
13457,1
830,0
11254,1
6027,0
4268,0
12379,1
4426,0
1372,0
7128,1
4002,0
1342,0
11272,1
10002,1
12443,1
6391,1
9641,1
5216,0
11740,1
9540,1
10094,1
1676,0
9787,1
4069,0
7887,1
4150,0
3220,0
5355,0
8324,1
8854,1
13975,1
13188,1
4323,0
2906,0
958,0
8489,1
12522,1
3566,0
7377,1
6591,1
248,0
13479,1
4959,0
6343,1
9168,1
8801,1
12336,1
6313,1
2708,0
13765,1
7311,1
8697,1
4177,0
10365,1
4561,0
2325,0
11380,1
8227,1
7086,1
7999,1
333,0
13950,1
1624,0
6130,0
1249,0
6084,0
11253,1
3261,0
1739,0
1273,0
5175,0
3437,0
5518,0
7902,1
341,0
7019,1
1877,0
5571,0
5141,0
4677,0
7221,1
5629,0
4486,0
3607,0
3393,0
8867,1
12993,1
808,0
10752,1
11842,1
13293,1
5438,0
9409,1
9085,1
4645,0
7088,1
6115,0
9255,1
9430,1
10620,1
1421,0
12684,1
5040,0
105,0
10168,1
7288,1
8821,1
10277,1
1980,0
2860,0
11479,1
13519,1
6066,0
11957,1
5587,0
8631,1
13064,1
1116,0
8945,1
4702,0
3964,0
4791,0
8589,1
11186,1
2047,0
7191,1
1933,0
12552,1
6752,1
2846,0
11263,1
1184,0
9824,1
6645,1
5751,0
9790,1
13304,1
1644,0
9611,1
2121,0
13541,1
9825,1
10073,1
7645,1
4476,0
11944,1
8472,1
5393,0
4216,0
10293,1
10245,1
12771,1
7727,1
4163,0
8833,1
6454,1
414,0
6297,0
4412,0
11607,1
4892,0
1323,0
83,0
3499,0
12946,1
7189,1
8222,1
11142,1
2980,0
10251,1
11041,1
8378,1
13630,1
12101,1
